QKeyCode,SDL1.2,PearPC,AppleGlyph
Q_KEY_CODE_UNMAPPED,SDLK_UNKNOWN,,
Q_KEY_CODE_SHIFT,SDLK_LSHIFT,,⇧
Q_KEY_CODE_SHIFT_R,SDLK_RSHIFT,,⇧
Q_KEY_CODE_ALT,SDLK_LALT,,⌥
Q_KEY_CODE_ALT_R,SDLK_RALT,,⌥
Q_KEY_CODE_CTRL,SDLK_LCTRL,,⌃
Q_KEY_CODE_CTRL_R,SDLK_RCTRL,,⌃
Q_KEY_CODE_MENU,SDLK_MENU,,
Q_KEY_CODE_ESC,SDLK_ESCAPE,Escape,⎋
Q_KEY_CODE_1,SDLK_1,,
Q_KEY_CODE_2,SDLK_2,,
Q_KEY_CODE_3,SDLK_3,,
Q_KEY_CODE_4,SDLK_4,,
Q_KEY_CODE_5,SDLK_5,,
Q_KEY_CODE_6,SDLK_6,,
Q_KEY_CODE_7,SDLK_7,,
Q_KEY_CODE_8,SDLK_8,,
Q_KEY_CODE_9,SDLK_9,,
Q_KEY_CODE_0,SDLK_0,,
Q_KEY_CODE_MINUS,SDLK_MINUS,-,
Q_KEY_CODE_EQUAL,SDLK_EQUALS,=,
Q_KEY_CODE_BACKSPACE,SDLK_BACKSPACE,,⌫
Q_KEY_CODE_TAB,SDLK_TAB,,⇥
Q_KEY_CODE_Q,SDLK_q,,
Q_KEY_CODE_W,SDLK_w,,
Q_KEY_CODE_E,SDLK_e,,
Q_KEY_CODE_R,SDLK_r,,
Q_KEY_CODE_T,SDLK_t,,
Q_KEY_CODE_Y,SDLK_y,,
Q_KEY_CODE_U,SDLK_u,,
Q_KEY_CODE_I,SDLK_i,,
Q_KEY_CODE_O,SDLK_o,,
Q_KEY_CODE_P,SDLK_p,,
Q_KEY_CODE_BRACKET_LEFT,SDLK_LEFTBRACKET,[,
Q_KEY_CODE_BRACKET_RIGHT,SDLK_RIGHTBRACKET,],
Q_KEY_CODE_RET,SDLK_RETURN,Return,↩
Q_KEY_CODE_A,SDLK_a,,
Q_KEY_CODE_S,SDLK_s,,
Q_KEY_CODE_D,SDLK_d,,
Q_KEY_CODE_F,SDLK_f,,
Q_KEY_CODE_G,SDLK_g,,
Q_KEY_CODE_H,SDLK_h,,
Q_KEY_CODE_J,SDLK_j,,
Q_KEY_CODE_K,SDLK_k,,
Q_KEY_CODE_L,SDLK_l,,
Q_KEY_CODE_SEMICOLON,SDLK_SEMICOLON,;,
Q_KEY_CODE_APOSTROPHE,SDLK_QUOTE,\',
Q_KEY_CODE_GRAVE_ACCENT,SDLK_BACKQUOTE,`,
Q_KEY_CODE_BACKSLASH,SDLK_BACKSLASH,\\,
Q_KEY_CODE_Z,SDLK_z,,
Q_KEY_CODE_X,SDLK_x,,
Q_KEY_CODE_C,SDLK_c,,
Q_KEY_CODE_V,SDLK_v,,
Q_KEY_CODE_B,SDLK_b,,
Q_KEY_CODE_N,SDLK_n,,
Q_KEY_CODE_M,SDLK_m,,
Q_KEY_CODE_COMMA,SDLK_COMMA,",",
Q_KEY_CODE_DOT,SDLK_PERIOD,.,
Q_KEY_CODE_SLASH,SDLK_SLASH,/,
Q_KEY_CODE_ASTERISK,SDLK_ASTERISK,,
Q_KEY_CODE_SPC,SDLK_SPACE,Space,
Q_KEY_CODE_CAPS_LOCK,SDLK_CAPSLOCK,Caps-Lock,⇪
Q_KEY_CODE_F1,SDLK_F1,,F1
Q_KEY_CODE_F2,SDLK_F2,,F2
Q_KEY_CODE_F3,SDLK_F3,,F3
Q_KEY_CODE_F4,SDLK_F4,,F4
